name,Gender,Eye color,Race,Hair color,Height (cm),Publisher,Skin color,Alignment,Weight (kg)
A-Bomb,Male,yellow,Human,No Hair,203,Marvel Comics,-,good,441
Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191,Dark Horse Comics,blue,good,65
Abin Sur,Male,blue,Ungaran,No Hair,185,DC Comics,red,good,90
Abomination,Male,green,Human / Radiation,No Hair,203,Marvel Comics,-,bad,441
Abraxas,Male,blue,Cosmic Entity,Black,"",Marvel Comics,-,bad,""
Absorbing Man,Male,blue,Human,No Hair,193,Marvel Comics,-,bad,122
Adam Monroe,Male,blue,-,Blond,"",NBC - Heroes,-,good,""
Adam Strange,Male,blue,Human,Blond,185,DC Comics,-,good,88
Agent 13,Female,blue,-,Blond,173,Marvel Comics,-,good,61
Agent Bob,Male,brown,Human,Brown,178,Marvel Comics,-,good,81
Agent Zero,Male,brown,-,-,191,Marvel Comics,-,good,104
Air-Walker,Male,blue,-,White,188,Marvel Comics,-,bad,108
Ajax,Male,brown,Cyborg,Black,193,Marvel Comics,-,bad,90
Alan Scott,Male,blue,-,Blond,180,DC Comics,-,good,90
Alex Mercer,Male,blue,Human,-,"",Wildstorm,-,bad,""
Alex Woolsly,Male,brown,-,-,"",NBC - Heroes,-,good,""
Alfred Pennyworth,Male,blue,Human,Black,178,DC Comics,-,good,72
Alien,Male,red,Xenomorph XX121,No Hair,244,Dark Horse Comics,black,bad,169
Allan Quatermain,Male,blue,-,-,"",Wildstorm,-,good,""
Amazo,Male,red,Android,-,257,DC Comics,-,bad,173
Ammo,Male,brown,Human,Black,188,Marvel Comics,-,bad,101
Ando Masahashi,Male,brown,-,-,"",NBC - Heroes,-,good,""
Angel,Male,blue,-,Blond,183,Marvel Comics,-,good,68
Angel,Male,blue,Vampire,-,"",Dark Horse Comics,-,good,""
Angel Dust,Female,yellow,Mutant,Black,165,Marvel Comics,-,good,57
Angel Salvadore,Female,brown,-,Black,163,Marvel Comics,-,good,54
Angela,Female,purple,-,-,"",Image Comics,-,bad,""
Animal Man,Male,blue,Human,Blond,183,DC Comics,-,good,83
Annihilus,Male,green,-,No Hair,180,Marvel Comics,-,bad,90
Ant-Man,Male,blue,Human,Blond,211,Marvel Comics,-,good,122
Ant-Man II,Male,blue,Human,Blond,183,Marvel Comics,-,good,86
Anti-Monitor,Male,yellow,God / Eternal,No Hair,61,DC Comics,-,bad,""
Anti-Spawn,Male,blue,-,-,"",Image Comics,-,bad,""
Anti-Venom,Male,blue,Symbiote,Blond,229,Marvel Comics,-,-,358
Apocalypse,Male,red,Mutant,Black,213,Marvel Comics,grey,bad,135
Aquababy,Male,blue,-,Blond,"",DC Comics,-,good,""
Aqualad,Male,blue,Atlantean,Black,178,DC Comics,-,good,106
Aquaman,Male,blue,Atlantean,Blond,185,DC Comics,-,good,146
Arachne,Female,blue,Human,Blond,175,Marvel Comics,-,good,63
Archangel,Male,blue,Mutant,Blond,183,Marvel Comics,blue,good,68
Arclight,Female,purple,-,Purple,173,Marvel Comics,-,bad,57
Ardina,Female,white,Alien,Orange,193,Marvel Comics,gold,good,98
Ares,Male,brown,-,Brown,185,Marvel Comics,-,good,270
Ariel,Female,purple,-,Pink,165,Marvel Comics,-,good,59
Armor,Female,black,-,Black,163,Marvel Comics,-,good,50
Arsenal,Male,blue,Human,-,"",DC Comics,-,good,""
Astro Boy,Male,brown,-,Black,"","",-,good,""
Atlas,Male,brown,Mutant,Red,183,Marvel Comics,-,good,101
Atlas,Male,blue,God / Eternal,Brown,198,DC Comics,-,bad,126
Atom,Male,blue,-,Red,178,DC Comics,-,good,68
Atom,Male,blue,-,-,"",DC Comics,-,good,""
Atom Girl,Female,black,-,Black,168,DC Comics,-,good,54
Atom II,Male,brown,Human,Auburn,183,DC Comics,-,good,81
Atom III,Male,blue,-,Red,"",DC Comics,-,good,""
Atom IV,Male,brown,-,Black,"",DC Comics,-,good,72
Aurora,Female,blue,Mutant,Black,180,Marvel Comics,-,good,63
Azazel,Male,yellow,Neyaphem,Black,183,Marvel Comics,red,bad,67
Azrael,Male,brown,Human,Black,"",DC Comics,-,good,""
Aztar,Male,brown,-,-,"",DC Comics,-,good,""
Bane,Male,brown,Human,-,203,DC Comics,-,bad,180
Banshee,Male,green,Human,Strawberry Blond,183,Marvel Comics,-,good,77
Bantam,Male,brown,-,Black,165,Marvel Comics,-,good,54
Batgirl,Female,green,-,-,"",DC Comics,-,good,""
Batgirl,Female,green,Human,Red,170,DC Comics,-,good,57
Batgirl III,Female,green,-,-,"",DC Comics,-,good,""
Batgirl IV,Female,green,Human,Black,165,DC Comics,-,good,52
Batgirl V,Female,green,-,-,"",DC Comics,-,good,""
Batgirl VI,Female,blue,-,Blond,168,DC Comics,-,good,61
Batman,Male,blue,Human,black,188,DC Comics,-,good,95
Batman,Male,blue,Human,Black,178,DC Comics,-,good,77
Batman II,Male,blue,Human,Black,178,DC Comics,-,good,79
Battlestar,Male,brown,-,Black,198,Marvel Comics,-,good,133
Batwoman V,Female,green,Human,Red,178,DC Comics,-,good,""
Beak,Male,black,-,White,175,Marvel Comics,-,good,63
Beast,Male,blue,Mutant,Blue,180,Marvel Comics,blue,good,181
Beast Boy,Male,green,Human,Green,173,DC Comics,green,good,68
Beetle,Male,brown,-,-,"",Marvel Comics,-,bad,""
Ben 10,Male,brown,-,-,"",DC Comics,-,good,""
Beta Ray Bill,Male,brown,-,No Hair,201,Marvel Comics,-,good,216
Beyonder,Male,brown,God / Eternal,-,"",Marvel Comics,-,good,""
Big Barda,Female,blue,New God,Black,188,DC Comics,-,bad,135
Big Daddy,Male,brown,-,-,"",Icon Comics,-,good,""
Big Man,Male,blue,-,Brown,165,Marvel Comics,-,bad,71
Bill Harken,Male,brown,Alpha,-,"",SyFy,-,good,""
Billy Kincaid,Male,brown,-,-,"",Image Comics,-,bad,""
Binary,Female,blue,-,Blond,180,Marvel Comics,-,good,54
Bionic Woman,Female,blue,Cyborg,Black,"","",-,good,""
Bird-Brain,-,red,-,-,"",Marvel Comics,-,good,""
Bird-Man,Male,yellow,Human,-,"",Marvel Comics,-,bad,""
Bird-Man II,Male,red,Human,-,"",Marvel Comics,-,bad,""
Birdman,Male,red,God / Eternal,-,"",Hanna-Barbera,-,good,""
Bishop,Male,brown,Mutant,No Hair,198,Marvel Comics,-,good,124
Bizarro,Male,black,Bizarro,Black,191,DC Comics,white,neutral,155
Black Abbott,Male,red,-,Black,"",Marvel Comics,-,bad,""
Black Adam,Male,brown,-,Black,191,DC Comics,-,bad,113
Black Bolt,Male,blue,Inhuman,Black,188,Marvel Comics,-,good,95
Black Canary,Female,blue,Human,Blond,165,DC Comics,-,good,58
Black Canary,Female,blue,Metahuman,Blond,170,DC Comics,-,good,59
Black Cat,Female,green,Human,Blond,178,Marvel Comics,-,good,54
Black Flash,Male,brown,God / Eternal,-,"",DC Comics,-,neutral,""
Black Goliath,Male,brown,-,-,"",Marvel Comics,-,good,""
Black Knight III,Male,brown,Human,Brown,183,Marvel Comics,-,good,86
Black Lightning,Male,brown,-,No Hair,185,DC Comics,-,good,90
Black Mamba,Female,green,-,Black,170,Marvel Comics,-,bad,52
Black Manta,Male,black,Human,No Hair,188,DC Comics,-,bad,92
Black Panther,Male,brown,Human,Black,183,Marvel Comics,-,good,90
Black Widow,Female,green,Human,Auburn,170,Marvel Comics,-,good,59
Black Widow II,Female,blue,-,Blond,170,Marvel Comics,-,good,61
Blackout,Male,red,Demon,White,191,Marvel Comics,white,bad,104
Blackwing,Male,blue,-,Black,185,Marvel Comics,-,bad,86
Blackwulf,Male,red,Alien,White,188,Marvel Comics,-,-,88
Blade,Male,brown,Vampire,Black,188,Marvel Comics,-,good,97
Blaquesmith,-,black,-,No Hair,"",Marvel Comics,-,good,""
Bling!,Female,green,-,-,168,Marvel Comics,-,good,68
Blink,Female,green,Mutant,Magenta,165,Marvel Comics,pink,good,56
Blizzard,Male,brown,-,-,"",Marvel Comics,-,bad,""
Blizzard,Male,brown,-,Brown,"",Marvel Comics,-,bad,""
Blizzard II,Male,brown,-,Brown,175,Marvel Comics,-,bad,77
Blob,Male,brown,-,Brown,178,Marvel Comics,-,bad,230
Bloodaxe,Female,blue,Human,Brown,218,Marvel Comics,-,bad,495
Bloodhawk,Male,black,Mutant,No Hair,"",Marvel Comics,-,good,""
Bloodwraith,Male,white,-,No Hair,30.5,Marvel Comics,-,bad,""
Blue Beetle,Male,blue,-,Brown,"",DC Comics,-,good,""
Blue Beetle,Male,blue,-,-,"",DC Comics,-,good,""
Blue Beetle II,Male,blue,-,Brown,183,DC Comics,-,good,86
Blue Beetle III,Male,brown,Human,Black,"",DC Comics,-,good,""
Boba Fett,Male,brown,Human / Clone,Black,183,George Lucas,-,bad,""
Bolt,Male,brown,-,-,"",Marvel Comics,-,good,""
Bomb Queen,Female,purple,-,-,"",Image Comics,-,bad,""
Boom-Boom,Female,blue,Mutant,Blond,165,Marvel Comics,-,good,55
Boomer,Female,brown,-,-,"",Marvel Comics,-,good,""
Booster Gold,Male,blue,Human,Blond,196,DC Comics,-,good,97
Box,Male,blue,-,-,"",Marvel Comics,-,good,""
Box III,-,blue,-,Blond,193,Marvel Comics,-,good,110
Box IV,-,brown,-,Brown / Black,"",Marvel Comics,-,good,""
Brainiac,Male,green,Android,No Hair,198,DC Comics,green,bad,135
Brainiac 5,Male,green,-,Blond,170,DC Comics,-,good,61
Brother Voodoo,Male,brown,Human,Brown / White,183,Marvel Comics,-,good,99
Brundlefly,Male,brown,Mutant,-,193,"",-,-,""
Buffy,Female,green,Human,Blond,157,Dark Horse Comics,-,good,52
Bullseye,Male,blue,Human,blond,183,Marvel Comics,-,bad,90
Bumblebee,Female,brown,Human,Black,170,DC Comics,-,good,59
Bumbleboy,Male,brown,-,-,"",Marvel Comics,-,good,""
Bushido,Male,brown,Human,-,"",DC Comics,-,good,""
Cable,Male,blue,Mutant,White,203,Marvel Comics,-,good,158
Callisto,Female,blue,-,Black,175,Marvel Comics,-,bad,74
Cameron Hicks,Male,brown,Alpha,-,"",SyFy,-,good,""
Cannonball,Male,blue,-,Blond,183,Marvel Comics,-,good,81
Captain America,Male,blue,Human,blond,188,Marvel Comics,-,good,108
Captain Atom,Male,blue,Human / Radiation,Silver,193,DC Comics,silver,good,90
Captain Britain,Male,blue,Human,Blond,198,Marvel Comics,-,good,116
Captain Cold,Male,brown,Human,Brown,"",DC Comics,-,neutral,""
Captain Epic,Male,blue,-,Brown,188,Team Epic TV,-,good,""
Captain Hindsight,Male,black,Human,Black,"",South Park,-,good,""
Captain Mar-vell,Male,blue,-,Blond,188,Marvel Comics,-,good,108
Captain Marvel,Female,blue,Human-Kree,Blond,180,Marvel Comics,-,good,74
Captain Marvel,Male,blue,Human,Black,193,DC Comics,-,good,101
Captain Marvel II,Male,blue,Human,Black,175,DC Comics,-,good,74
Captain Midnight,Male,black,Human,-,"",Dark Horse Comics,-,good,""
Captain Planet,Male,red,God / Eternal,Green,"",Marvel Comics,-,good,""
Captain Universe,-,brown,God / Eternal,-,"",Marvel Comics,-,good,""
Carnage,Male,green,Symbiote,Red,185,Marvel Comics,-,bad,86
Cat,Female,blue,-,Blond,173,Marvel Comics,-,good,61
Cat II,Female,blue,-,-,"",Marvel Comics,-,good,""
Catwoman,Female,green,Human,Black,175,DC Comics,-,good,61
Cecilia Reyes,-,brown,-,Brown,170,Marvel Comics,-,good,62
Century,Male,white,Alien,White,201,Marvel Comics,grey,good,97
Cerebra,Female,purple,Mutant,-,"",Marvel Comics,-,good,""
Chamber,Male,brown,Mutant,Brown,175,Marvel Comics,-,good,63
Chameleon,Male,brown,-,-,"",DC Comics,-,bad,""
Changeling,Male,brown,-,Black,180,Marvel Comics,-,bad,81
Cheetah,Female,green,Human,Blond,163,DC Comics,-,bad,50
Cheetah II,Female,green,Human,Brown,170,DC Comics,-,bad,55
Cheetah III,Female,brown,Human,Brown,175,DC Comics,-,bad,54
Chromos,Male,brown,-,Red / Grey,185,Team Epic TV,-,bad,86
Chuck Norris,Male,-,-,-,178,"",-,good,""
Citizen Steel,Male,green,Human,Red,183,DC Comics,-,good,170
Claire Bennet,Female,blue,-,Blond,"",NBC - Heroes,-,good,""
Clea,-,-,-,White,"",Marvel Comics,-,good,""
Cloak,Male,brown,-,black,226,Marvel Comics,-,good,70
Clock King,Male,blue,Human,Black,178,DC Comics,-,bad,78
Cogliostro,Male,-,-,-,"",Image Comics,-,bad,""
Colin Wagner,Male,grey,-,Brown,"",HarperCollins,-,good,""
Colossal Boy,Male,-,-,-,"",DC Comics,-,good,""
Colossus,Male,grey,Mutant,Black,226,Marvel Comics,-,good,225
Copycat,Female,red,Mutant,White,183,Marvel Comics,blue,neutral,67
Corsair,Male,brown,-,Brown,191,Marvel Comics,-,good,79
Cottonmouth,Male,brown,Human,Black,183,Marvel Comics,-,bad,99
Crimson Crusader,Male,blue,-,Strawberry Blond,"",Marvel Comics,-,good,""
Crimson Dynamo,Male,brown,-,No Hair,180,Marvel Comics,-,good,104
Crystal,Female,green,Inhuman,Red,168,Marvel Comics,-,good,50
Curse,Male,brown,-,-,"",Image Comics,-,bad,""
Cy-Gor,Male,green,-,-,"",Image Comics,-,bad,""
Cyborg,Male,brown,Cyborg,Black,198,DC Comics,-,good,173
Cyborg Superman,Male,blue,Cyborg,Black,"",DC Comics,-,bad,""
Cyclops,Male,brown,Mutant,Brown,191,Marvel Comics,-,good,88
Cypher,-,blue,-,Blond,175,Marvel Comics,-,good,68
Dagger,Female,blue,-,Blond,165,Marvel Comics,-,good,52
Danny Cooper,Male,brown,-,Blond,"",HarperCollins,-,good,""
Daphne Powell,Female,blue,-,-,"",ABC Studios,-,good,""
Daredevil,Male,blue,Human,Red,183,Marvel Comics,-,good,90
Darkhawk,Male,brown,Human,Brown,185,Marvel Comics,-,good,81
Darkman,Male,black,-,-,"",Universal Studios,-,good,""
Darkseid,Male,red,New God,No Hair,267,DC Comics,grey,bad,817
Darkside,-,black,-,-,"","",-,bad,""
Darkstar,Female,brown,Mutant,Blond,168,Marvel Comics,-,good,56
Darth Maul,Male,yellow,Dathomirian Zabrak,-,170,George Lucas,red / black,bad,""
Darth Vader,Male,yellow,Cyborg,No Hair,198,George Lucas,-,bad,135
Dash,Male,blue,Human,Blond,122,Dark Horse Comics,-,good,27
Data,Male,yellow,Android,Brown,"",Star Trek,-,good,""
Dazzler,Female,blue,Mutant,Blond,173,Marvel Comics,-,good,52
Deadman,Male,blue,Human,Black,183,DC Comics,-,good,90
Deadpool,Male,brown,Mutant,No Hair,188,Marvel Comics,-,neutral,95
Deadshot,Male,brown,Human,Brown,185,DC Comics,-,bad,91
Deathlok,Male,brown,Cyborg,Grey,193,Marvel Comics,-,good,178
Deathstroke,Male,blue,Human,White,193,DC Comics,-,neutral,101
Demogoblin,Male,red,Demon,No Hair,185,Marvel Comics,-,bad,95
Destroyer,Male,brown,-,-,188,Marvel Comics,-,bad,383
Diamondback,Male,brown,Human,Black,193,Marvel Comics,-,bad,90
DL Hawkins,Male,black,-,-,"",NBC - Heroes,-,good,""
Doc Samson,Male,blue,Human / Radiation,Green,198,Marvel Comics,-,good,171
Doctor Doom,Male,brown,Human,Brown,201,Marvel Comics,-,bad,187
Doctor Doom II,Male,brown,-,Brown,201,Marvel Comics,-,bad,132
Doctor Fate,Male,blue,Human,Blond,188,DC Comics,-,good,89
Doctor Octopus,Male,brown,Human,Brown,175,Marvel Comics,-,bad,110
Doctor Strange,Male,grey,Human,Black,188,Marvel Comics,-,good,81
Domino,Female,blue,Human,Black,173,Marvel Comics,white,good,54
Donatello,Male,green,Mutant,No Hair,"",IDW Publishing,green,good,""
Donna Troy,Female,blue,Amazon,Black,175,DC Comics,-,good,63
Doomsday,Male,red,Alien,White,244,DC Comics,-,bad,412
Doppelganger,Male,white,-,No Hair,196,Marvel Comics,-,bad,104
Dormammu,Male,yellow,-,No Hair,185,Marvel Comics,-,bad,""
Dr Manhattan,Male,white,Human / Cosmic,No Hair,"",DC Comics,blue,good,""
Drax the Destroyer,Male,red,Human / Altered,No Hair,193,Marvel Comics,green,good,306
Ego,-,brown,-,-,"",Marvel Comics,-,bad,""
Elastigirl,Female,brown,Human,Brown,168,Dark Horse Comics,-,good,56
Electro,Male,blue,Human,Auburn,180,Marvel Comics,-,bad,74
Elektra,Female,blue,Human,Black,175,Marvel Comics,-,good,59
Elle Bishop,Female,blue,-,Blond,"",NBC - Heroes,-,bad,""
Elongated Man,Male,blue,-,Red,185,DC Comics,-,good,80
Emma Frost,Female,blue,-,Blond,178,Marvel Comics,-,good,65
Enchantress,Female,blue,Human,Blond,168,DC Comics,-,good,57
Energy,Female,brown,-,-,"",HarperCollins,-,good,""
ERG-1,Male,brown,-,-,"",DC Comics,-,good,""
Ethan Hunt,Male,brown,Human,Brown,168,"",-,good,""
Etrigan,Male,red,Demon,No Hair,193,DC Comics,yellow,neutral,203
Evil Deadpool,Male,white,Mutant,Red,188,Marvel Comics,-,bad,95
Evilhawk,Male,red,Alien,Black,191,Marvel Comics,green,bad,106
Exodus,Male,blue,Mutant,Black,183,Marvel Comics,red,bad,88
Fabian Cortez,-,blue,-,Brown,196,Marvel Comics,-,bad,96
Falcon,Male,brown,Human,Black,188,Marvel Comics,-,good,108
Fallen One II,Male,black,-,Blue,"",Marvel Comics,-,bad,""
Faora,Female,green,Kryptonian,-,"",DC Comics,-,bad,""
Feral,-,yellow,-,Orange / White,175,Marvel Comics,-,good,50
Fighting Spirit,Female,green,-,Red,"",DC Comics,-,good,""
Fin Fang Foom,Male,red,Kakarantharaian,No Hair,975,Marvel Comics,green,good,18
Firebird,Female,brown,-,Black,165,Marvel Comics,-,good,56
Firelord,-,white,-,Yellow,193,Marvel Comics,-,good,99
Firestar,Female,green,Mutant,Red,173,Marvel Comics,-,good,56
Firestorm,Male,brown,-,Black,"",DC Comics,-,good,""
Firestorm,Male,blue,Human,Auburn,188,DC Comics,-,good,91
Fixer,-,red,-,No Hair,"",Marvel Comics,-,bad,""
Flash,Male,blue,Human,Brown / White,180,DC Comics,-,good,81
Flash Gordon,Male,green,-,-,"","",-,good,""
Flash II,Male,blue,Human,Blond,183,DC Comics,-,good,88
Flash III,Male,green,Human,-,183,DC Comics,-,good,86
Flash IV,Male,yellow,Human,Auburn,157,DC Comics,-,good,52
Forge,-,brown,-,Black,183,Marvel Comics,-,good,81
Franklin Richards,Male,blue,Mutant,Blond,142,Marvel Comics,-,good,45
Franklin Storm,-,blue,-,Grey,188,Marvel Comics,-,good,92
Frenzy,Female,brown,-,Black,211,Marvel Comics,-,bad,104
Frigga,Female,blue,-,White,180,Marvel Comics,-,good,167
Galactus,Male,black,Cosmic Entity,Black,876,Marvel Comics,-,neutral,16
Gambit,Male,red,Mutant,Brown,185,Marvel Comics,-,good,81
Gamora,Female,yellow,Zen-Whoberian,Black,183,Marvel Comics,green,good,77
Garbage Man,Male,brown,Mutant,-,"",DC Comics,-,good,""
Gary Bell,Male,brown,Alpha,-,"",SyFy,-,good,""
General Zod,Male,black,Kryptonian,Black,"",DC Comics,-,bad,""
Genesis,Male,blue,-,Blond,185,Marvel Comics,-,good,86
Ghost Rider,Male,red,Demon,No Hair,188,Marvel Comics,-,good,99
Ghost Rider II,-,brown,-,-,"",Marvel Comics,-,good,""
Giant-Man,Male,brown,Human,-,"",Marvel Comics,-,good,""
Giant-Man II,Male,brown,-,-,"",Marvel Comics,-,good,""
Giganta,Female,green,-,Red,62.5,DC Comics,-,bad,630
Gladiator,Male,blue,Strontian,Blue,198,Marvel Comics,purple,neutral,268
Goblin Queen,Female,green,-,Red,168,Marvel Comics,-,bad,50
Godzilla,-,black,Kaiju,-,108,"",grey,bad,""
Gog,Male,brown,-,-,"",DC Comics,-,bad,""
Goku,Male,brown,Saiyan,-,175,Shueisha,-,good,62
Goliath,Male,brown,-,-,"",Marvel Comics,-,good,""
Goliath,Male,brown,Human,-,"",Marvel Comics,-,good,""
Goliath,Male,brown,Human,-,"",Marvel Comics,-,good,""
Goliath IV,Male,brown,-,Black,183,Marvel Comics,-,good,90
Gorilla Grodd,Male,yellow,Gorilla,Black,198,DC Comics,-,bad,270
Granny Goodness,Female,blue,-,White,178,DC Comics,-,bad,115
Gravity,Male,blue,Human,Brown,178,Marvel Comics,-,good,79
Greedo,Male,purple,Rodian,-,170,George Lucas,green,bad,""
Green Arrow,Male,green,Human,Blond,188,DC Comics,-,good,88
Green Goblin,Male,blue,Human,Auburn,180,Marvel Comics,-,bad,83
Green Goblin II,Male,blue,-,Auburn,178,Marvel Comics,-,bad,77
Green Goblin III,Male,blue,-,-,183,Marvel Comics,-,good,88
Green Goblin IV,Male,green,-,Brown,178,Marvel Comics,-,good,79
Groot,Male,yellow,Flora Colossus,-,701,Marvel Comics,-,good,4
Guardian,Male,brown,Human,Black,"",Marvel Comics,-,good,""
Guy Gardner,Male,blue,Human-Vuldarian,Red,188,DC Comics,-,good,95
Hal Jordan,Male,brown,Human,Brown,188,DC Comics,-,good,90
Han Solo,Male,brown,Human,Brown,183,George Lucas,-,good,79
Hancock,Male,brown,Human,Black,188,Sony Pictures,-,good,""
Harley Quinn,Female,blue,Human,Blond,170,DC Comics,-,bad,63
Harry Potter,Male,green,Human,Black,"",J. K. Rowling,-,good,""
Havok,Male,blue,Mutant,Blond,183,Marvel Comics,-,good,79
Hawk,Male,red,-,Brown,185,DC Comics,-,good,89
Hawkeye,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
Hawkeye II,Female,blue,Human,Black,165,Marvel Comics,-,good,57
Hawkgirl,Female,green,-,Red,175,DC Comics,-,good,61
Hawkman,Male,blue,-,Brown,185,DC Comics,-,good,88
Hawkwoman,Female,green,-,Red,175,DC Comics,-,good,54
Hawkwoman II,Female,green,-,-,"",DC Comics,-,good,""
Hawkwoman III,Female,blue,-,Red,170,DC Comics,-,good,65
Heat Wave,Male,blue,Human,No Hair,180,DC Comics,-,bad,81
Hela,Female,green,Asgardian,Black,213,Marvel Comics,-,bad,225
Hellboy,Male,yellow,Demon,Black,259,Dark Horse Comics,-,good,158
Hellcat,Female,blue,Human,Red,173,Marvel Comics,-,good,61
Hellstorm,Male,red,-,Red,185,Marvel Comics,-,good,81
Hercules,Male,blue,Demi-God,Brown,196,Marvel Comics,-,good,146
Hiro Nakamura,Male,brown,-,-,"",NBC - Heroes,-,good,""
Hit-Girl,Female,blue,Human,-,"",Icon Comics,-,good,""
Hobgoblin,Male,blue,-,Grey,180,Marvel Comics,-,bad,83
Hollow,Female,blue,-,Red,170,Marvel Comics,-,good,""
Hope Summers,Female,green,-,Red,168,Marvel Comics,-,good,48
Howard the Duck,Male,brown,-,Yellow,79,Marvel Comics,-,good,18
Hulk,Male,green,Human / Radiation,Green,244,Marvel Comics,green,good,630
Human Torch,Male,blue,Human / Radiation,Blond,178,Marvel Comics,-,good,77
Huntress,Female,blue,-,Black,180,DC Comics,-,good,59
Husk,Female,blue,Mutant,Blond,170,Marvel Comics,-,good,58
Hybrid,Male,brown,Symbiote,Black,175,Marvel Comics,-,good,77
Hydro-Man,Male,brown,-,Brown,188,Marvel Comics,-,bad,119
Hyperion,Male,blue,Eternal,Red,183,Marvel Comics,-,good,207
Iceman,Male,brown,Mutant,Brown,173,Marvel Comics,-,good,65
Impulse,Male,yellow,Human,Auburn,170,DC Comics,-,good,65
Indiana Jones,Male,brown,Human,-,183,George Lucas,-,good,79
Indigo,Female,purple,Alien,Indigo,"",DC Comics,-,neutral,""
Ink,Male,blue,Mutant,No Hair,180,Marvel Comics,-,good,81
Invisible Woman,Female,blue,Human / Radiation,Blond,168,Marvel Comics,-,good,54
Iron Fist,Male,blue,Human,Blond,180,Marvel Comics,-,good,79
Iron Man,Male,blue,Human,Black,198,Marvel Comics,-,good,191
Iron Monger,Male,blue,-,No Hair,"",Marvel Comics,-,bad,2
Isis,Female,blue,-,-,"",DC Comics,-,good,""
Jack Bauer,Male,brown,-,-,"","",-,good,""
Jack of Hearts,Male,blue,Human,Brown,155,Marvel Comics,-,good,79
Jack-Jack,Male,blue,Human,Brown,71,Dark Horse Comics,-,good,14
James Bond,Male,blue,Human,Blond,183,Titan Books,-,good,""
James T. Kirk,Male,hazel,Human,Brown,178,Star Trek,-,good,77
Jar Jar Binks,Male,yellow,Gungan,-,193,George Lucas,orange / white,good,""
Jason Bourne,Male,brown,Human,-,"","",-,good,""
Jean Grey,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
Jean-Luc Picard,Male,blue,Human,-,"",Star Trek,-,good,""
Jennifer Kale,Female,blue,-,Blond,168,Marvel Comics,-,good,55
Jesse Quick,Female,brown,Human,-,"",DC Comics,-,good,""
Jessica Cruz,Female,green,Human,Brown,"",DC Comics,-,good,""
Jessica Jones,Female,brown,Human,Brown,170,Marvel Comics,-,good,56
Jessica Sanders,Female,green,-,-,"",NBC - Heroes,-,good,""
Jigsaw,Male,blue,-,Black,188,Marvel Comics,-,bad,113
Jim Powell,Male,blue,-,-,"",ABC Studios,-,good,""
JJ Powell,Male,green,-,-,"",ABC Studios,-,good,""
Johann Krauss,Male,blue,-,-,"",Dark Horse Comics,-,good,""
