name,Gender,Eye color,Race,Hair color,Height (cm),Publisher,Skin color,Alignment,Weight (kg)
John Constantine,Male,blue,Human,Blond,183,DC Comics,-,good,""
John Stewart,Male,green,Human,Black,185,DC Comics,-,good,90
John Wraith,Male,brown,-,Black,183,Marvel Comics,-,good,88
Joker,Male,green,Human,Green,196,DC Comics,white,bad,86
Jolt,Female,blue,-,Black,165,Marvel Comics,-,good,49
Jubilee,Female,red,Mutant,Black,165,Marvel Comics,-,good,52
Judge Dredd,Male,brown,Human,-,188,Rebellion,-,good,""
Juggernaut,Male,blue,Human,Red,287,Marvel Comics,-,neutral,855
Junkpile,Male,brown,Mutant,-,"",Marvel Comics,-,bad,""
Justice,Male,hazel,Human,Brown,178,Marvel Comics,-,good,81
Jyn Erso,Female,green,Human,Brown,"",George Lucas,-,good,""
K-2SO,Male,white,Android,No Hair,213,George Lucas,gray,good,""
Kang,Male,brown,-,Brown,191,Marvel Comics,-,bad,104
Karate Kid,Male,brown,Human,Brown,173,DC Comics,-,good,72
Kathryn Janeway,Female,blue,Human,-,"",Star Trek,-,good,""
Katniss Everdeen,Female,yellow,Human,-,"","",-,good,""
Kevin 11,Male,green,Human,Black,"",DC Comics,-,good,""
Kick-Ass,Male,blue,Human,Blond,"",Icon Comics,-,good,""
Kid Flash,Male,green,Human,Red,"",DC Comics,-,good,""
Kid Flash II,Male,-,-,-,"",DC Comics,-,good,""
Killer Croc,Male,red,Metahuman,No Hair,244,DC Comics,green,bad,356
Killer Frost,Female,blue,Human,Blond,"",DC Comics,blue,bad,""
Kilowog,Male,red,Bolovaxian,No Hair,234,DC Comics,pink,good,324
King Kong,Male,yellow,Animal,Black,30.5,"",-,good,""
King Shark,Male,black,Animal,No Hair,"",DC Comics,-,bad,""
Kingpin,Male,blue,Human,No Hair,201,Marvel Comics,-,bad,203
Klaw,Male,red,Human,No Hair,188,Marvel Comics,red,bad,97
Kool-Aid Man,Male,black,-,No Hair,"","",red,good,""
Kraven II,Male,brown,Human,Black,191,Marvel Comics,-,bad,99
Kraven the Hunter,Male,brown,Human,Black,183,Marvel Comics,-,bad,106
Krypto,Male,blue,Kryptonian,White,64,DC Comics,-,good,18
Kyle Rayner,Male,green,Human,Black,180,DC Comics,-,good,79
Kylo Ren,Male,-,Human,-,"",George Lucas,-,bad,""
Lady Bullseye,Female,-,-,Black,"",Marvel Comics,-,bad,""
Lady Deathstrike,Female,brown,Cyborg,Black,175,Marvel Comics,-,bad,58
Leader,Male,green,-,No Hair,178,Marvel Comics,-,bad,63
Leech,Male,-,-,-,"",Marvel Comics,-,good,""
Legion,Male,green,Mutant,Black,175,Marvel Comics,-,good,59
Leonardo,Male,blue,Mutant,No Hair,"",IDW Publishing,green,good,""
Lex Luthor,Male,green,Human,No Hair,188,DC Comics,-,bad,95
Light Lass,Female,blue,-,Red,165,DC Comics,-,good,54
Lightning Lad,Male,blue,-,Red,155,DC Comics,-,good,65
Lightning Lord,Male,blue,-,Red,191,DC Comics,-,bad,95
Living Brain,-,yellow,-,-,198,Marvel Comics,-,bad,360
Living Tribunal,-,blue,Cosmic Entity,No Hair,"",Marvel Comics,gold,neutral,""
Liz Sherman,Female,-,-,-,"",Dark Horse Comics,-,good,""
Lizard,Male,red,Human,No Hair,203,Marvel Comics,-,bad,230
Lobo,Male,red,Czarnian,Black,229,DC Comics,blue-white,neutral,288
Loki,Male,green,Asgardian,Black,193,Marvel Comics,-,bad,236
Longshot,Male,blue,Human,Blond,188,Marvel Comics,-,good,36
Luke Cage,Male,brown,Human,Black,198,Marvel Comics,-,good,191
Luke Campbell,Male,-,-,-,"",NBC - Heroes,-,bad,""
Luke Skywalker,Male,blue,Human,Blond,168,George Lucas,-,good,77
Luna,Female,-,Human,-,"",Marvel Comics,-,good,""
Lyja,Female,green,-,Green,"",Marvel Comics,-,good,""
Mach-IV,Male,brown,-,Brown,180,Marvel Comics,-,bad,79
Machine Man,-,red,-,Black,183,Marvel Comics,-,good,383
Magneto,Male,grey,Mutant,White,188,Marvel Comics,-,bad,86
Magog,Male,blue,-,Blond,"",DC Comics,-,good,""
Magus,Male,black,-,-,183,Marvel Comics,-,bad,""
Man of Miracles,-,blue,God / Eternal,Silver,"",Image Comics,-,-,""
Man-Bat,Male,brown,Human,Brown,"",DC Comics,-,neutral,""
Man-Thing,Male,red,-,No Hair,213,Marvel Comics,green,good,225
Man-Wolf,Male,brown,-,Auburn,188,Marvel Comics,-,good,90
Mandarin,Male,blue,Human,White,188,Marvel Comics,-,bad,97
Mantis,Female,green,Human-Kree,Black,168,Marvel Comics,green,good,52
Martian Manhunter,Male,red,Martian,No Hair,201,DC Comics,green,good,135
Marvel Girl,Female,green,-,Red,170,Marvel Comics,-,good,56
Master Brood,Male,blue,-,Black,183,Team Epic TV,-,good,81
Master Chief,Male,brown,Human / Altered,Brown,213,Microsoft,-,good,""
Match,Male,black,-,Black,"",DC Comics,-,bad,""
Matt Parkman,Male,-,-,-,"",NBC - Heroes,-,good,""
Maverick,Male,blue,-,Black,193,Marvel Comics,-,good,110
Maxima,Female,brown,-,Red,180,DC Comics,-,bad,72
Maya Herrera,Female,-,-,-,"",NBC - Heroes,-,good,""
Medusa,Female,green,Inhuman,Red,180,Marvel Comics,-,good,59
Meltdown,Female,blue,-,Blond,165,Marvel Comics,-,good,54
Mephisto,Male,white,-,Black,198,Marvel Comics,-,bad,140
Mera,Female,blue,Atlantean,Red,175,DC Comics,-,good,72
Metallo,Male,green,Android,Brown,196,DC Comics,-,bad,90
Metamorpho,Male,black,-,No Hair,185,DC Comics,-,good,90
Meteorite,Female,-,-,-,"",Marvel Comics,-,good,""
Metron,Male,blue,-,Black,185,DC Comics,-,good,86
Micah Sanders,Male,brown,-,Black,"",NBC - Heroes,-,good,""
Michelangelo,Male,blue,Mutant,-,"",IDW Publishing,green,good,""
Micro Lad,Male,grey,-,Brown,183,DC Comics,-,good,77
Mimic,Male,brown,-,Brown,188,Marvel Comics,-,good,101
Minna Murray,Female,-,-,-,"",Wildstorm,-,good,""
Misfit,Female,blue,-,Red,"",DC Comics,-,good,""
Miss Martian,Female,red,-,Red,178,DC Comics,-,good,61
Mister Fantastic,Male,brown,Human / Radiation,Brown,185,Marvel Comics,-,good,81
Mister Freeze,Male,-,Human,-,183,DC Comics,-,bad,86
Mister Knife,Male,blue,Spartoi,Brown,"",Marvel Comics,-,bad,""
Mister Mxyzptlk,Male,-,God / Eternal,-,"",DC Comics,-,bad,""
Mister Sinister,Male,red,Human / Altered,Black,196,Marvel Comics,-,bad,128
Mister Zsasz,Male,blue,Human,Blond,"",DC Comics,-,bad,""
Mockingbird,Female,blue,Human,Blond,175,Marvel Comics,-,good,61
MODOK,Male,white,Cyborg,Brownn,366,Marvel Comics,-,bad,338
Mogo,Male,-,Planet,-,"",DC Comics,-,good,""
Mohinder Suresh,Male,-,-,-,"",NBC - Heroes,-,good,""
Moloch,Male,-,-,-,"",DC Comics,-,bad,""
Molten Man,Male,yellow,-,Gold,196,Marvel Comics,-,bad,248
Monarch,Male,blue,-,White,193,DC Comics,-,good,90
Monica Dawson,Female,-,-,-,"",NBC - Heroes,-,good,""
Moon Knight,Male,brown,Human,Brown,188,Marvel Comics,-,good,101
Moonstone,Female,blue,-,Blond,180,Marvel Comics,-,bad,59
Morlun,Male,white,-,Black,188,Marvel Comics,-,bad,79
Morph,Male,white,-,No Hair,178,Marvel Comics,-,good,79
Moses Magnum,Male,brown,-,Black,175,Marvel Comics,-,bad,72
Mr Immortal,Male,blue,Mutant,Blond,188,Marvel Comics,-,good,70
Mr Incredible,Male,blue,Human,Blond,201,Dark Horse Comics,-,good,158
Ms Marvel II,Female,blue,-,Red,173,Marvel Comics,-,good,61
Multiple Man,Male,blue,-,Brown,180,Marvel Comics,-,good,70
Mysterio,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
Mystique,Female,yellow,Mutant,Red / Orange,178,Marvel Comics,blue,bad,54
Namor,Male,-,-,-,"",Marvel Comics,-,good,""
Namor,Male,grey,Atlantean,Black,188,Marvel Comics,-,good,125
Namora,Female,blue,-,Blond,180,Marvel Comics,-,good,85
Namorita,Female,blue,-,Blond,168,Marvel Comics,-,good,101
Naruto Uzumaki,Male,-,Human,-,168,Shueisha,-,good,54
Nathan Petrelli,Male,brown,-,-,"",NBC - Heroes,-,good,""
Nebula,Female,blue,Luphomoid,No Hair,185,Marvel Comics,blue,bad,83
Negasonic Teenage Warhead,Female,black,Mutant,Black,"",Marvel Comics,-,good,""
Nick Fury,Male,brown,Human,Brown / White,185,Marvel Comics,-,good,99
Nightcrawler,Male,yellow,-,Indigo,175,Marvel Comics,-,good,88
Nightwing,Male,blue,Human,Black,178,DC Comics,-,good,79
Niki Sanders,Female,blue,-,Blond,"",NBC - Heroes,-,good,""
Nina Theroux,Female,black,Alpha,-,"",SyFy,-,good,""
Nite Owl II,Male,blue,-,-,"",DC Comics,-,good,""
Northstar,Male,blue,-,Black,180,Marvel Comics,-,good,83
Nova,Male,brown,Human,Brown,185,Marvel Comics,-,good,86
Nova,Female,white,Human / Cosmic,Red,163,Marvel Comics,gold,good,59
Odin,Male,blue,God / Eternal,White,206,Marvel Comics,-,good,293
Offspring,Male,green,-,-,"",DC Comics,-,good,""
Omega Red,Male,red,-,Blond,211,Marvel Comics,-,bad,191
Omniscient,Male,brown,-,Black,180,Team Epic TV,-,good,65
One Punch Man,Male,blue,Human,No Hair,175,Shueisha,-,good,69
One-Above-All,-,red,Cosmic Entity,-,"",Marvel Comics,-,neutral,""
Onslaught,Male,red,Mutant,No Hair,305,Marvel Comics,-,bad,405
Oracle,Female,blue,Human,Red,178,DC Comics,-,good,59
Osiris,Male,brown,-,Brown,"",DC Comics,-,good,""
Overtkill,Male,brown,-,-,"",Image Comics,-,bad,""
Ozymandias,Male,blue,Human,Blond,"",DC Comics,-,bad,""
Parademon,-,purple,Parademon,-,"",DC Comics,-,bad,""
Paul Blart,Male,brown,Human,-,170,Sony Pictures,-,good,117
Penance,-,yellow,-,-,"",Marvel Comics,-,good,""
Penance I,Female,red,-,-,"",Marvel Comics,-,good,""
Penance II,Male,blue,-,Blond,183,Marvel Comics,-,good,89
Penguin,Male,blue,Human,Black,157,DC Comics,-,bad,79
Peter Petrelli,Male,brown,-,-,"",NBC - Heroes,-,good,""
Phantom,Male,black,-,-,"",DC Comics,-,good,""
Phantom Girl,Female,blue,-,Black,168,DC Comics,-,good,54
Phoenix,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
Plantman,Male,green,Mutant,Grey,183,Marvel Comics,-,bad,87
Plastic Lad,Male,red,-,-,"",DC Comics,-,good,""
Plastic Man,Male,blue,Human,Black,185,DC Comics,-,good,80
Plastique,Female,blue,-,Red,168,DC Comics,-,bad,55
Poison Ivy,Female,green,Human,Red,168,DC Comics,green,bad,50
Polaris,Female,green,Mutant,Green,170,Marvel Comics,-,good,52
Power Girl,Female,blue,Kryptonian,blond,180,DC Comics,-,good,81
Power Man,Male,red,Mutant,-,"",Marvel Comics,-,good,""
Predator,Male,blue,Yautja,-,213,Dark Horse Comics,-,bad,234
Professor X,Male,blue,Mutant,No Hair,183,Marvel Comics,-,good,86
Professor Zoom,Male,blue,Human,Strawberry Blond,180,DC Comics,-,bad,81
Proto-Goblin,Male,green,-,Blond,"",Marvel Comics,-,bad,""
Psylocke,Female,blue,Mutant,Purple,180,Marvel Comics,-,good,70
Punisher,Male,blue,Human,Black,183,Marvel Comics,-,good,90
Purple Man,Male,purple,Human,Purple,180,Marvel Comics,purple,bad,74
Pyro,Male,blue,-,Blond,178,Marvel Comics,-,bad,68
Q,Male,blue,God / Eternal,-,"",Star Trek,-,-,""
Quantum,Male,yellow,-,-,"",HarperCollins,-,good,""
Question,Male,blue,Human,Blond,188,DC Comics,-,good,83
Quicksilver,Male,blue,Mutant,Silver,183,Marvel Comics,-,good,79
Quill,Male,brown,-,Brown,163,Marvel Comics,-,good,56
Ra's Al Ghul,Male,green,Human,Grey,193,DC Comics,-,bad,97
Rachel Pirzad,Female,purple,Alpha,-,"",SyFy,-,good,""
Rambo,Male,brown,Human,Black,178,"",-,good,83
Raphael,Male,green,Mutant,No Hair,"",IDW Publishing,green,good,""
Raven,Female,purple,Human,Black,165,DC Comics,-,neutral,50
Ray,Male,green,Human,Red,178,DC Comics,-,good,70
Razor-Fist II,Male,blue,-,No Hair,191,Marvel Comics,-,bad,117
Red Arrow,Male,green,Human,Red,180,DC Comics,-,good,83
Red Hood,Male,blue,Human,Black,183,DC Comics,-,neutral,81
Red Hulk,Male,yellow,Human / Radiation,Black,213,Marvel Comics,red,neutral,630
Red Mist,Male,hazel,-,-,"",Icon Comics,-,bad,""
Red Robin,Male,blue,Human,Black,165,DC Comics,-,good,56
Red Skull,Male,blue,-,No Hair,188,Marvel Comics,-,bad,108
Red Tornado,Male,green,Android,No Hair,185,DC Comics,-,good,146
Redeemer II,Male,hazel,-,-,"",Image Comics,-,bad,""
Redeemer III,Male,hazel,-,-,"",Image Comics,-,bad,""
Renata Soliz,Female,hazel,-,-,"",HarperCollins,-,good,""
Rey,Female,hazel,Human,Brown,297,George Lucas,-,good,""
Rhino,Male,brown,Human / Radiation,Brown,196,Marvel Comics,-,bad,320
Rick Flag,Male,blue,-,Brown,185,DC Comics,-,bad,85
Riddler,Male,brown,-,-,"",DC Comics,-,bad,""
Rip Hunter,Male,blue,Human,Blond,"",DC Comics,-,good,""
Ripcord,Female,green,-,Black,180,Marvel Comics,-,good,72
Robin,Male,blue,Human,Black,178,DC Comics,-,good,79
Robin II,Male,blue,Human,Red,183,DC Comics,-,good,101
Robin III,Male,blue,Human,Black,165,DC Comics,-,good,56
Robin V,Male,blue,Human,Black,137,DC Comics,-,good,38
Robin VI,Female,green,Human,Red,"",DC Comics,-,neutral,""
Rocket Raccoon,Male,brown,Animal,Brown,122,Marvel Comics,-,good,25
Rogue,Female,green,-,Brown / White,173,Marvel Comics,-,good,54
Ronin,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
Rorschach,Male,blue,Human,Red,168,DC Comics,-,good,63
Sabretooth,Male,brown,Mutant,Blond,198,Marvel Comics,-,bad,171
Sage,Female,blue,-,Black,170,Marvel Comics,-,good,61
Sandman,Male,brown,Human,Brown,185,Marvel Comics,-,neutral,203
Sasquatch,Male,red,-,Orange,305,Marvel Comics,-,good,900
Sauron,Male,grey,Maiar,-,279,J. R. R. Tolkien,-,bad,""
Savage Dragon,Male,grey,-,-,"",Image Comics,-,good,""
Scarecrow,Male,blue,Human,Brown,183,DC Comics,-,bad,63
Scarlet Spider,Male,blue,Human,Blond,178,Marvel Comics,-,good,74
Scarlet Spider II,Male,brown,Clone,Brown,193,Marvel Comics,-,good,113
Scarlet Witch,Female,blue,Mutant,Brown,170,Marvel Comics,-,bad,59
Scorpia,Female,green,-,Red,"",Marvel Comics,-,bad,""
Scorpion,Male,brown,Human,Brown,211,Marvel Comics,-,bad,310
Sebastian Shaw,Male,grey,Mutant,-,"",Marvel Comics,-,bad,""
Sentry,Male,blue,Mutant,Blond,188,Marvel Comics,-,neutral,87
Shadow King,-,red,-,-,185,Marvel Comics,-,good,149
Shadow Lass,Female,black,Talokite,Black,173,DC Comics,blue,good,54
Shadowcat,Female,hazel,Mutant,Brown,168,Marvel Comics,-,good,50
Shang-Chi,Male,brown,Human,Black,178,Marvel Comics,-,good,79
Shatterstar,Male,brown,-,Red,191,Marvel Comics,-,good,88
She-Hulk,Female,green,Human,Green,201,Marvel Comics,-,good,315
She-Thing,Female,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,153
Shocker,Male,brown,Human,Brown,175,Marvel Comics,-,bad,79
Shriek,Female,yellow,-,Black,173,Marvel Comics,-,good,52
Shrinking Violet,Female,purple,-,-,"",DC Comics,-,good,""
Sif,Female,blue,Asgardian,Black,188,Marvel Comics,-,good,191
Silk,Female,brown,Human,Black,"",Marvel Comics,-,good,""
Silk Spectre,Female,green,-,-,"",DC Comics,-,good,""
Silk Spectre II,Female,blue,-,-,"",DC Comics,-,good,""
Silver Surfer,Male,white,Alien,No Hair,193,Marvel Comics,silver,good,101
Silverclaw,Female,brown,-,Black,157,Marvel Comics,-,good,50
Simon Baz,Male,brown,Human,Black,"",DC Comics,-,good,""
Sinestro,Male,black,Korugaran,Black,201,DC Comics,red,neutral,92
Siren,Female,blue,Atlantean,Purple,175,DC Comics,-,bad,72
Siren II,Female,black,-,-,"",DC Comics,-,bad,""
Siryn,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,bad,52
Skaar,Male,green,-,Black,198,Marvel Comics,-,good,180
Snake-Eyes,Male,red,Animal,-,"",Marvel Comics,-,bad,""
Snowbird,Female,white,-,Blond,178,Marvel Comics,-,good,49
Sobek,Male,white,-,No Hair,"",DC Comics,-,good,""
Solomon Grundy,Male,black,Zombie,White,279,DC Comics,-,bad,437
Songbird,Female,green,-,Red / White,165,Marvel Comics,-,good,65
Space Ghost,Male,hazel,Human,-,188,DC Comics,-,good,113
Spawn,Male,brown,Demon,Black,211,Image Comics,-,good,405
Spectre,Male,white,God / Eternal,No Hair,"",DC Comics,white,good,""
Speedball,Male,blue,-,-,"",Marvel Comics,-,good,""
Speedy,Male,brown,Human,-,"",DC Comics,-,good,""
Speedy,Female,green,Human,Brown,"",DC Comics,-,good,""
Spider-Carnage,Male,black,Symbiote,-,"",Marvel Comics,-,bad,""
Spider-Girl,Female,blue,Human,Brown,170,Marvel Comics,-,good,54
Spider-Gwen,Female,blue,Human,Blond,165,Marvel Comics,-,good,56
Spider-Man,Male,hazel,Human,Brown,178,Marvel Comics,-,good,74
Spider-Man,-,red,Human,Brown,178,Marvel Comics,-,good,77
Spider-Man,Male,brown,Human,Black,157,Marvel Comics,-,good,56
Spider-Woman,Female,green,Human,Black,178,Marvel Comics,-,good,59
Spider-Woman II,Female,brown,-,-,"",Marvel Comics,-,good,""
Spider-Woman III,Female,brown,-,Brown,173,Marvel Comics,-,good,55
Spider-Woman IV,Female,red,-,White,178,Marvel Comics,-,bad,58
Spock,Male,brown,Human-Vulcan,Black,185,Star Trek,-,good,81
Spyke,Male,brown,Mutant,Blond,183,Marvel Comics,-,good,83
Stacy X,Female,black,-,-,"",Marvel Comics,-,good,""
Star-Lord,Male,blue,Human-Spartoi,Blond,188,Marvel Comics,-,good,79
Stardust,Male,black,-,-,"",Marvel Comics,-,good,""
Starfire,Female,green,Tamaranean,Auburn,193,DC Comics,orange,good,71
Stargirl,Female,blue,Human,Blond,165,DC Comics,-,good,62
Static,Male,brown,Mutant,Black,170,DC Comics,-,good,63
Steel,Male,brown,-,No Hair,201,DC Comics,-,good,131
Stephanie Powell,Female,green,-,Blond,"",ABC Studios,-,good,""
Steppenwolf,Male,red,New God,Black,183,DC Comics,white,bad,91
Storm,Female,blue,Mutant,White,180,Marvel Comics,-,good,57
Stormtrooper,Male,blue,Human,-,183,George Lucas,-,bad,""
Sunspot,Male,brown,Mutant,black,173,Marvel Comics,-,good,77
Superboy,Male,blue,-,Black,170,DC Comics,-,good,68
Superboy-Prime,Male,blue,Kryptonian,Black / Blue,180,DC Comics,-,bad,77
Supergirl,Female,blue,Kryptonian,Blond,165,DC Comics,-,good,54
Superman,Male,blue,Kryptonian,Black,191,DC Comics,-,good,101
Swamp Thing,Male,red,God / Eternal,No Hair,"",DC Comics,green,bad,""
Swarm,Male,yellow,Mutant,No Hair,196,Marvel Comics,yellow,bad,47
Sylar,Male,blue,-,-,"",NBC - Heroes,-,bad,""
Synch,Male,brown,-,Black,180,Marvel Comics,-,good,74
T-1000,Male,red,Android,-,183,Dark Horse Comics,silver,bad,146
T-800,Male,red,Cyborg,-,"",Dark Horse Comics,-,bad,176
T-850,Male,red,Cyborg,-,"",Dark Horse Comics,-,bad,198
T-X,Female,yellow,Cyborg,-,"",Dark Horse Comics,silver,bad,149
Taskmaster,Male,brown,Human,Brown,188,Marvel Comics,-,bad,99
Tempest,Female,brown,-,Black,163,Marvel Comics,-,good,54
Thanos,Male,red,Eternal,No Hair,201,Marvel Comics,purple,bad,443
The Cape,Male,grey,-,-,"","",-,good,""
The Comedian,Male,brown,Human,Black,188,DC Comics,-,neutral,101
Thing,Male,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,225
Thor,Male,blue,Asgardian,Blond,198,Marvel Comics,-,good,288
Thor Girl,Female,blue,Asgardian,Blond,175,Marvel Comics,-,good,143
Thunderbird,Male,brown,-,Black,185,Marvel Comics,-,good,101
Thunderbird II,Male,brown,-,-,"",Marvel Comics,-,good,""
Thunderbird III,Male,brown,-,Black,175,Marvel Comics,-,good,74
Thunderstrike,Male,blue,-,Blond,198,Marvel Comics,-,good,288
Thundra,Female,green,-,Red,218,Marvel Comics,-,good,158
Tiger Shark,Male,grey,Human,No Hair,185,Marvel Comics,grey,bad,203
Tigra,Female,green,-,Auburn,178,Marvel Comics,-,good,81
Tinkerer,Male,brown,-,White,163,Marvel Comics,-,bad,54
Titan,Male,-,-,-,"",HarperCollins,-,good,""
Toad,Male,black,Mutant,Brown,175,Marvel Comics,green,neutral,76
Toxin,Male,blue,Symbiote,Brown,188,Marvel Comics,-,good,97
Toxin,Male,black,Symbiote,Blond,191,Marvel Comics,-,good,117
Tracy Strauss,Female,-,-,-,"",NBC - Heroes,-,good,""
Trickster,Male,blue,Human,Blond,183,DC Comics,-,-,81
Trigon,Male,yellow,God / Eternal,Black,"",DC Comics,red,bad,""
Triplicate Girl,Female,purple,-,Brown,168,DC Comics,-,good,59
Triton,Male,green,Inhuman,No Hair,188,Marvel Comics,green,good,86
Two-Face,Male,-,-,-,183,DC Comics,-,bad,82
Ultragirl,Female,blue,-,Blond,168,Marvel Comics,-,good,105
Ultron,Male,red,Android,-,206,Marvel Comics,silver,bad,331
Utgard-Loki,Male,blue,Frost Giant,White,15.2,Marvel Comics,-,bad,58
Vagabond,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,good,54
Valerie Hart,Female,hazel,-,Black,175,Team Epic TV,-,good,56
Valkyrie,Female,blue,-,Blond,191,Marvel Comics,-,good,214
Vanisher,Male,green,-,No Hair,165,Marvel Comics,-,bad,79
Vegeta,Male,black,Saiyan,Black,168,Shueisha,-,bad,73
Venom,Male,blue,Symbiote,Strawberry Blond,191,Marvel Comics,-,bad,117
Venom II,Male,brown,-,Black,175,Marvel Comics,-,bad,50
Venom III,Male,brown,Symbiote,Brown,229,Marvel Comics,-,bad,334
Venompool,Male,brown,Symbiote,-,226,Marvel Comics,-,-,""
Vertigo II,Female,blue,-,Silver,168,Marvel Comics,-,good,52
Vibe,Male,brown,Human,Black,178,DC Comics,-,good,71
Vindicator,Female,green,Human,Red,165,Marvel Comics,-,good,54
Vindicator,Male,grey,-,-,"",Marvel Comics,-,good,""
Violator,Male,grey,-,-,"",Image Comics,-,bad,""
Violet Parr,Female,purple,Human,Black,137,Dark Horse Comics,-,good,41
Vision,Male,yellow,Android,No Hair,191,Marvel Comics,red,good,135
Vision II,-,red,-,No Hair,191,Marvel Comics,-,good,135
Vixen,Female,brown,Human,Black,175,DC Comics,-,good,63
Vulcan,Male,black,-,Black,"",Marvel Comics,-,good,""
Vulture,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
Walrus,Male,blue,Human,Black,183,Marvel Comics,-,bad,162
War Machine,Male,brown,Human,Brown,185,Marvel Comics,-,good,95
Warbird,Female,blue,-,Blond,180,Marvel Comics,-,good,54
Warlock,Male,red,-,Blond,188,Marvel Comics,-,good,108
Warp,Male,brown,-,Black,173,DC Comics,-,bad,67
Warpath,Male,brown,Mutant,Black,218,Marvel Comics,-,good,158
Wasp,Female,blue,Human,Auburn,163,Marvel Comics,-,good,50
Watcher,Male,grey,-,-,"",Marvel Comics,-,good,""
Weapon XI,Male,grey,-,-,"",Marvel Comics,-,bad,""
White Canary,Female,brown,Human,Black,"",DC Comics,-,bad,""
White Queen,Female,blue,-,Blond,178,Marvel Comics,-,good,65
Wildfire,Male,hazel,-,-,"",DC Comics,-,good,""
Winter Soldier,Male,brown,Human,Brown,175,Marvel Comics,-,good,117
Wiz Kid,-,brown,-,Black,140,Marvel Comics,-,good,39
Wolfsbane,Female,green,-,Auburn,366,Marvel Comics,-,good,473
Wolverine,Male,blue,Mutant,Black,160,Marvel Comics,-,good,135
Wonder Girl,Female,blue,Demi-God,Blond,165,DC Comics,-,good,51
Wonder Man,Male,red,-,Black,188,Marvel Comics,-,good,171
Wonder Woman,Female,blue,Amazon,Black,183,DC Comics,-,good,74
Wondra,Female,hazel,-,-,"",Marvel Comics,-,good,""
Wyatt Wingfoot,Male,brown,-,Black,196,Marvel Comics,-,good,117
X-23,Female,green,Mutant / Clone,Black,155,Marvel Comics,-,good,50
X-Man,Male,blue,-,Brown,175,Marvel Comics,-,good,61
Yellow Claw,Male,blue,-,No Hair,188,Marvel Comics,-,bad,95
Yellowjacket,Male,blue,Human,Blond,183,Marvel Comics,-,good,83
Yellowjacket II,Female,blue,Human,Strawberry Blond,165,Marvel Comics,-,good,52
Ymir,Male,white,Frost Giant,No Hair,304.8,Marvel Comics,white,good,""
Yoda,Male,brown,Yoda's species,White,66,George Lucas,green,good,17
Zatanna,Female,blue,Human,Black,170,DC Comics,-,good,57
Zoom,Male,red,-,Brown,185,DC Comics,-,bad,81