Is college worth it?,College Student,Gender,Age
Yes,Yes,Male,52
Yes,Yes,Male,34
Yes,No,Female,20
No,Yes,Female,30
Yes,Yes,Female,34
Yes,Yes,Female,18
Yes,Yes,Female,20
Yes,Yes,Female,21
Yes,Yes,Female,18
Yes,Yes,Male,36
Unsure,Yes,Female,45
Yes,Yes,Female,35
Yes,Yes,Male,22
Yes,Yes,Female,54
Yes,Yes,Female,21
Unsure,Yes,Male,23
Unsure,Yes,Male,20
Yes,Yes,Female,42
Yes,Yes,Male,22
Yes,Yes,Female,40
Yes,Yes,Female,42
Yes,Yes,Female,26
Yes,Yes,Male,23
Unsure,Yes,Male,27
Yes,Yes,Male,45
Yes,Yes,Female,36
No,Yes,Female,19
Yes,Yes,Female,31
Yes,Yes,Female,51
Yes,Yes,Male,39
Yes,No,Female,73
Yes,Yes,Female,48
Yes,Yes,Female,41
Unsure,Yes,Female,18
No,Yes,Male,21
Unsure,Yes,Female,53
Yes,Yes,Male,50
Yes,No,Male,51
Unsure,Yes,Male,23
Yes,Yes,Female,50
Unsure,Yes,Male,""
Yes,Yes,Male,20
No,"",Male,26
Yes,Yes,Female,47
Yes,Yes,Female,33
Yes,Yes,Female,40
Yes,Yes,Male,60
Yes,Yes,Female,39
Yes,No,Female,17
Yes,Yes,Female,19
Yes,Yes,Male,48
No,Yes,Female,20
Yes,Yes,Male,33
Unsure,Yes,Male,33
Yes,Yes,Female,24
Yes,Yes,Male,19
Yes,Yes,Female,20
Yes,Yes,Male,34
Unsure,Yes,Male,18
Yes,Yes,Female,60
Yes,Yes,Female,30
Yes,Yes,Female,49
Yes,Yes,Female,29
Yes,Yes,Female,19
Yes,Yes,Male,28
Yes,Yes,Female,20
Yes,Yes,Female,29
Unsure,Yes,Male,32
Unsure,Yes,Male,40
Yes,Yes,Female,""
Unsure,Yes,Male,22
Unsure,Yes,Male,22
Unsure,Yes,Male,22
Yes,Yes,Female,20
Yes,Yes,Female,19
Yes,Yes,Female,18
Yes,Yes,Female,53
Yes,Yes,Male,18
Yes,Yes,Female,20
Yes,Yes,Male,21
Yes,Yes,Female,46
Yes,"",Female,19
Yes,Yes,Female,21
Unsure,Yes,Female,35
Yes,Yes,Female,37
Yes,Yes,Female,33
Yes,Yes,Female,49
No,Yes,Female,42
Yes,Yes,Male,19
No,Yes,Male,22
Yes,Yes,Female,26
Yes,No,Male,18
Yes,Yes,Male,21
Yes,Yes,Female,33
Unsure,Yes,Male,20
Yes,Yes,Female,22
Yes,No,Male,10
No,Yes,Female,24
No,Yes,Female,20
Yes,Yes,Male,65
Yes,Yes,Male,20
Yes,Yes,Male,20
Unsure,Yes,Female,25
Yes,No,Female,38
Yes,Yes,Female,36
Unsure,Yes,"",28
Yes,Yes,Male,26
Yes,Yes,Female,21
Unsure,Yes,Male,20
Yes,Yes,Female,18
Unsure,Yes,Male,22
Yes,Yes,Male,31
Yes,Yes,Male,40
Yes,Yes,Male,22
Unsure,Yes,Male,19
Yes,Yes,Female,19
Yes,Yes,Male,20
Yes,Yes,Male,29
Unsure,Yes,Male,19
Yes,Yes,Male,27
Yes,Yes,Male,22
Yes,Yes,Male,65
Yes,Yes,Male,31
Yes,Yes,Female,19
Yes,Yes,Female,19
Yes,Yes,Female,36
Yes,Yes,Male,40
Yes,Yes,Female,20
Yes,Yes,Female,19
Yes,Yes,Female,20
Yes,Yes,Female,19
Yes,Yes,Female,22
Yes,Yes,Male,21
Yes,Yes,Female,22
Yes,Yes,Male,22
Yes,No,Female,20
Yes,Yes,Male,20
No,Yes,Female,19
Unsure,Yes,Female,20
Yes,Yes,Male,70
Yes,Yes,Female,23
Yes,Yes,Male,19
Unsure,Yes,Female,25
Unsure,Yes,Female,21
Yes,Yes,Male,58
Yes,Yes,Female,53
Yes,No,Female,53
Unsure,Yes,Female,55
Yes,Yes,Male,20
Unsure,Yes,Male,20
Yes,Yes,Female,25
Yes,Yes,Female,18
Unsure,Yes,Female,44
Yes,Yes,Female,19
Unsure,Yes,Female,19
Yes,Yes,Female,36
Yes,No,Male,40
Yes,Yes,Female,21
Yes,No,Female,41
Yes,Yes,Male,22
No,Yes,Female,21
No,Yes,Male,21
Yes,Yes,Male,63
Yes,Yes,Male,18
Yes,Yes,Male,19
Yes,Yes,Female,20
Yes,Yes,Male,20
Yes,Yes,Male,47
Unsure,Yes,Male,23
Yes,Yes,Female,19
Yes,Yes,Female,24
Yes,Yes,Male,18
Yes,Yes,Female,41
Yes,Yes,Male,45
Yes,Yes,Female,20
Yes,No,Female,50
Yes,Yes,Female,37
Yes,Yes,Female,26
No,Yes,Female,19
No,Yes,Male,41
Yes,Yes,Female,50
Unsure,Yes,Female,22
Yes,Yes,Female,46
Yes,Yes,Female,55
Yes,No,Female,17
Yes,Yes,Female,50
Yes,Yes,Female,20
Unsure,Yes,Female,23
Yes,Yes,Male,40
Yes,Yes,Female,39
Yes,Yes,Female,54
Unsure,Yes,Male,22
Yes,Yes,Female,23
Yes,Yes,Female,28
Yes,No,Male,13
Yes,Yes,Female,49
Yes,Yes,Male,21
Yes,Yes,Male,34
Yes,Yes,Male,27
Yes,Yes,Male,26
Yes,Yes,Female,19
No,Yes,Male,19
Yes,No,Female,12
Yes,Yes,Female,50
Unsure,Yes,Female,31
Yes,No,Male,25
Yes,Yes,Female,18
Unsure,Yes,Female,34
Yes,Yes,Female,18
Yes,Yes,Female,19
Yes,Yes,Male,49
Yes,Yes,Male,32
Unsure,Yes,Female,18
No,No,Male,18
Unsure,Yes,Male,20
Yes,Yes,Female,20
Yes,Yes,Male,65
Yes,Yes,Female,44
Yes,Yes,Male,18
Yes,Yes,Male,21
Unsure,Yes,Female,21
Yes,Yes,Female,19
Yes,Yes,Male,21
Yes,Yes,Female,59
Yes,Yes,Male,32
Yes,Yes,Male,43
Yes,"",Female,20
No,Yes,Female,26
Yes,Yes,Male,25
Yes,Yes,Female,37
Yes,Yes,Female,20
Yes,Yes,Male,30
Unsure,Yes,Male,20
Yes,Yes,Male,72
Yes,Yes,Male,10
Yes,Yes,Female,40
Yes,Yes,Female,31
Yes,Yes,Male,18
Unsure,No,Male,17
Unsure,Yes,Female,18
Yes,Yes,Male,64
Unsure,No,"",45
No,Yes,Female,18
Unsure,Yes,Female,20
No,No,Male,21
No,No,Male,21
Yes,No,Male,23
Unsure,Yes,Male,21
Unsure,Yes,Female,41
Yes,No,Male,54
Yes,Yes,Female,57
Unsure,Yes,Male,48
Unsure,Yes,Female,19
Yes,Yes,Male,24
Yes,Yes,Male,20
Yes,Yes,Male,38
Yes,Yes,Female,43
Yes,Yes,Female,19
Yes,Yes,Female,20
Yes,Yes,Female,19
Yes,Yes,Male,20
Yes,Yes,Male,20
Yes,Yes,Female,18
Yes,Yes,Male,""
Yes,Yes,Female,18
No,Yes,Male,19
Yes,Yes,Male,23
Yes,Yes,Female,55
Yes,Yes,Male,26
Yes,Yes,Male,44
Yes,Yes,Female,56
Yes,Yes,Female,53
Yes,Yes,Female,20
Yes,Yes,Male,36
Yes,No,Male,57
Unsure,Yes,Male,18
Unsure,Yes,Female,19
Yes,Yes,Female,21
Unsure,Yes,Male,52
Yes,Yes,Male,20
Yes,Yes,Female,23
Yes,Yes,Male,18
Yes,Yes,Male,19
No,Yes,Male,21
Yes,Yes,Female,20
Unsure,Yes,Female,19
Yes,Yes,Female,19
Yes,Yes,Female,54
Yes,Yes,Female,32
Yes,Yes,Female,19
Yes,Yes,Male,19
No,Yes,Male,23
Yes,Yes,Male,19
Yes,Yes,Male,19
Yes,Yes,Male,18
Yes,Yes,Male,20
No,No,Male,18
No,Yes,Male,24
No,Yes,Female,19
Yes,Yes,Female,46
Yes,Yes,"",21
Yes,Yes,Female,17
Yes,Yes,Female,19
Unsure,No,Male,17
No,Yes,Male,11
Yes,Yes,Female,19
Yes,Yes,Female,21
Yes,Yes,Male,28
No,No,Male,17
Unsure,Yes,Female,21
Yes,Yes,Female,26
No,Yes,Female,20
Yes,Yes,Female,19
Yes,Yes,Male,20
Yes,Yes,Female,25
Unsure,Yes,Male,21
Yes,Yes,Female,20
Yes,Yes,Female,32
Yes,Yes,Female,38
Yes,Yes,Male,21
Yes,Yes,Female,32
Yes,Yes,Female,18
Yes,Yes,Male,20
Yes,Yes,Female,21
No,Yes,Female,27
Yes,Yes,Female,20
Unsure,Yes,Female,28
Unsure,Yes,Male,19
Yes,Yes,Male,31
Yes,Yes,Female,19
Yes,Yes,Male,18
Unsure,Yes,Female,21
Unsure,Yes,Male,29
Yes,Yes,Female,32
Yes,Yes,Female,26
No,Yes,Male,19
Unsure,Yes,"",64
Yes,Yes,Male,25
Unsure,Yes,Male,34
Yes,No,Female,15
No,Yes,Female,38
Unsure,Yes,Male,26
Yes,Yes,Male,26
Yes,Yes,Female,31
Yes,Yes,Female,""
No,Yes,Male,20
Yes,Yes,Female,31
Yes,Yes,Male,19
Yes,Yes,Female,32
Yes,Yes,Female,19
Unsure,Yes,Female,20
Yes,Yes,Male,18
Yes,Yes,Female,18
Yes,Yes,Male,35
Yes,Yes,Male,22
Yes,Yes,Male,20
Yes,Yes,Female,18
Yes,Yes,Female,47
Yes,Yes,Female,35
Yes,Yes,Female,18
Yes,Yes,Female,18
Yes,Yes,Female,30
Yes,Yes,Female,31
Yes,Yes,Female,29
Yes,Yes,Male,43
Unsure,Yes,Male,23
Yes,Yes,Male,23
Unsure,Yes,Male,18
Unsure,Yes,Male,16
Yes,Yes,Female,60
Unsure,Yes,Male,26
Yes,Yes,Female,22
Yes,Yes,Female,23
Yes,Yes,Female,21
Yes,Yes,Male,18
Yes,Yes,Male,19
Yes,Yes,Female,10
Yes,Yes,Male,26
Yes,Yes,Female,18
Unsure,Yes,Male,25
Yes,Yes,Male,25
Unsure,Yes,Male,23
Unsure,Yes,Female,22
Yes,Yes,Male,20
Yes,No,Female,17
Yes,Yes,Female,24
Yes,Yes,Female,25
Yes,No,Male,22
Yes,Yes,Female,59
Yes,Yes,Male,21
No,Yes,Female,28
Unsure,Yes,Female,48
Unsure,Yes,Female,19
Yes,Yes,Female,19
Yes,No,Male,41
Unsure,Yes,Female,21
Yes,Yes,Female,25
Yes,No,Male,21
Yes,Yes,Male,21
Yes,Yes,Female,18
Yes,Yes,Female,23
No,Yes,Male,19
Yes,Yes,Female,52
Unsure,No,Male,61
Yes,Yes,Female,42
Yes,Yes,Female,20
Unsure,Yes,Female,27
"",Yes,Female,54
Yes,Yes,Female,20
Yes,Yes,Female,53
Yes,Yes,Female,21
Yes,Yes,Female,40
Yes,Yes,Female,22
Yes,Yes,Female,32
Yes,Yes,Male,39
Yes,Yes,Female,27
Yes,Yes,Female,20
Yes,Yes,Female,20
Yes,Yes,Male,20
Yes,Yes,Male,21
Unsure,Yes,Male,20
Yes,Yes,Male,19
Yes,Yes,Female,40
Yes,Yes,Female,54
Yes,"",Female,19
Unsure,Yes,Female,23
Yes,Yes,Female,19
No,Yes,Female,31
Yes,Yes,Female,18
Yes,Yes,Female,27
Unsure,Yes,Male,26
Yes,Yes,Male,17
Yes,Yes,Male,25
Yes,Yes,Female,20
Yes,Yes,Female,20
Yes,Yes,Male,18
Yes,Yes,Female,18
Yes,Yes,Male,28
Yes,Yes,Male,29
Yes,Yes,Male,21
Unsure,Yes,Male,24
Unsure,Yes,Female,19
Yes,Yes,Female,43
Yes,Yes,Female,45
Yes,Yes,Female,22
Yes,Yes,Female,19
Yes,Yes,Male,30
Yes,Yes,Male,18
Yes,Yes,Female,42
No,Yes,Male,20
Yes,Yes,Female,20
Yes,Yes,Female,50
Yes,Yes,Male,31
Yes,Yes,Male,21
Yes,Yes,Male,25
Yes,Yes,Male,29
Yes,Yes,Female,54
Unsure,Yes,Female,45
Yes,No,Male,18
Yes,Yes,Male,20
"",Yes,Female,53
Yes,Yes,Male,50
Yes,Yes,Female,23
No,Yes,Male,25
Yes,Yes,Male,43
Yes,Yes,Male,27
Yes,Yes,Female,44
Yes,Yes,Male,54
No,Yes,Male,65
Yes,Yes,Female,29
No,No,Female,19
Yes,Yes,Female,80
Yes,Yes,Male,20
Unsure,Yes,Male,20
Unsure,Yes,Male,21
Yes,Yes,Female,21
Yes,Yes,Male,21
Unsure,Yes,Female,21
Yes,Yes,Female,20
Yes,Yes,Male,27
No,Yes,Female,27
No,Yes,Female,20
Yes,Yes,Female,21
Yes,Yes,Female,20
Unsure,Yes,Female,58
Yes,Yes,Female,55
Unsure,Yes,Female,21
Yes,Yes,Male,37
Yes,Yes,Female,22
Yes,Yes,Female,32
Yes,Yes,Male,28
No,Yes,Male,19
Unsure,Yes,Female,45
Yes,Yes,Male,21
Yes,No,Male,20
Yes,Yes,Male,22
Yes,Yes,Female,41
Yes,No,Male,16
Yes,Yes,Male,21
Yes,Yes,Female,47
Yes,Yes,Male,34
Unsure,Yes,Female,23
Yes,Yes,Male,22
Unsure,Yes,Female,22
Yes,Yes,Male,19
Yes,No,Male,50
Yes,Yes,Male,28
Unsure,Yes,Male,31
Unsure,Yes,Male,48
Yes,Yes,Female,21
Yes,Yes,Male,44
Yes,Yes,Female,40
Yes,Yes,Female,23
No,Yes,Female,20
Yes,Yes,Female,20
Yes,Yes,Male,28
Unsure,Yes,Female,22
Yes,Yes,Male,45
Yes,Yes,Male,21
Yes,Yes,Female,19
No,Yes,Male,26
Yes,Yes,Male,58
Yes,Yes,Female,19
Yes,Yes,Female,18
Yes,Yes,Female,35
Unsure,Yes,Male,19
Yes,Yes,Female,61
Yes,Yes,Male,45
Yes,Yes,Female,30
Yes,Yes,Female,35
Unsure,Yes,Male,65
Yes,Yes,Male,58
No,Yes,Male,39
Yes,Yes,Female,19
Yes,Yes,Female,43
Yes,Yes,Male,56
Yes,Yes,Female,49
Yes,Yes,Female,49
Yes,Yes,Female,49
Unsure,Yes,Male,45
No,Yes,Male,37
Yes,Yes,Female,28
Yes,Yes,Female,49
Yes,Yes,Female,36
Yes,Yes,Male,60
Yes,Yes,Female,49
Yes,Yes,Male,24
Yes,Yes,Female,40
Yes,Yes,Male,35
No,Yes,Male,29
Unsure,Yes,Male,30
Unsure,Yes,Male,35
Unsure,Yes,Male,23
Yes,Yes,"",19
No,Yes,Male,88
Yes,Yes,Female,20
No,No,Male,13
Yes,Yes,Female,41
Yes,Yes,Male,42
No,Yes,Male,46
Yes,Yes,Female,19
Yes,Yes,Male,63
Yes,Yes,Male,53
Unsure,Yes,Male,21
Yes,Yes,Female,99
Yes,Yes,Female,28
Yes,No,Male,22
Yes,Yes,Female,46
Yes,No,Male,57
Yes,Yes,Female,20
Yes,Yes,Male,30
Yes,Yes,Female,18
Yes,Yes,Male,33
Yes,Yes,Female,47
Yes,Yes,Male,20
Yes,Yes,Female,19
Yes,Yes,Male,51
Yes,Yes,Male,37
Yes,Yes,Male,50
Yes,Yes,Female,18
Yes,Yes,Female,18
Yes,Yes,Female,28
Yes,Yes,Female,23
Unsure,Yes,Male,40
Yes,Yes,Female,42
Yes,Yes,Male,19
Yes,Yes,Female,21
Yes,Yes,Female,20
Yes,Yes,Female,21
Yes,Yes,Female,27
Yes,Yes,Female,25
Yes,Yes,Male,21
Yes,No,Female,21
Yes,Yes,Female,12
Unsure,Yes,Male,20
Yes,Yes,Female,50
Yes,Yes,Female,19
Yes,Yes,Female,21
Yes,Yes,Male,19
Yes,Yes,Female,18
Yes,Yes,Male,40
Yes,Yes,Male,53
Yes,Yes,Male,43
Yes,Yes,Female,19
Yes,Yes,Female,57
Yes,Yes,Female,19
Yes,Yes,Female,20
Yes,Yes,Male,""
Yes,Yes,Male,25
Unsure,Yes,Female,36
Yes,Yes,Female,26
Yes,Yes,Female,30
Yes,Yes,Female,35
Yes,Yes,Female,18
Unsure,Yes,Female,44
Unsure,Yes,Female,27
Yes,Yes,Male,33
Yes,Yes,Female,20
No,Yes,Female,20
Yes,Yes,Male,24
Yes,Yes,Female,18
Yes,Yes,Female,21
Yes,Yes,Female,19
Unsure,Yes,Female,21
Yes,Yes,Male,19
Yes,Yes,Male,18
Unsure,No,Female,20
Unsure,No,Female,18
Yes,Yes,Female,32
Yes,Yes,Male,22
Yes,Yes,Female,24
Yes,Yes,Male,31
Yes,No,Female,42
Yes,Yes,Female,""
"",Yes,Male,18
Unsure,Yes,Female,18
Yes,Yes,Female,30
Yes,Yes,Male,""
Unsure,Yes,Female,27
Yes,Yes,Female,46
Yes,Yes,Male,19
Yes,Yes,Female,54
Yes,Yes,Male,24
Yes,Yes,Male,31
Yes,Yes,Male,37
Yes,Yes,Female,30
Yes,Yes,Female,18
